ID,step,angle,ID_old,time,lon.x,lat.x,x,y,state_m2_v,state_m2_w,state_m3_v,state_m3_w,datetimelo,date,lat.y,lon.y,dawn,sunrise,sunset,dusk,diel,habitat
A69-1602-60023-755,"0.811134272555107","-2.49365384357447",A69-1602-60023,2023-04-09 19:13:54,-88.296530986350206,30.387665898026100,375436.241842538001947,3362456.142573880031705,2,1,1,1,2023-04-09 14:13:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
A69-1602-60023-755,"0.0390325597017537","0.307653181785748",A69-1602-60023,2023-04-09 19:16:54,-88.296522728677104,30.387667416934601,375437.037189425958786,3362456.301828819792718,2,1,1,1,2023-04-09 14:16:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
A69-1602-60023-755,"0.24498223902374","2.60055777963003",A69-1602-60023,2023-04-09 19:19:54,-88.296522375498185,30.387667590915601,375437.071344567986671,3362456.320722390431911,2,1,1,1,2023-04-09 14:19:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
A69-1602-60023-755,NA,NA,A69-1602-60023,2023-04-09 19:22:54,-88.296524924279097,30.387667644651199,375436.826518966932781,3362456.329481530003250,2,1,1,1,2023-04-09 14:22:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
A69-1602-60023-924,"0.0770973829189543",NA,A69-1602-60023,2023-05-13 14:14:02,-88.296421989765406,30.387765495347900,375446.840892925974913,3362467.060913589783013,2,1,1,1,2023-05-13 09:14:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-924,"1.17574018123641","1.4904257826075",A69-1602-60023,2023-05-13 14:17:02,-88.296421418348615,30.387765983660199,375446.896415687981062,3362467.114404050167650,2,1,1,1,2023-05-13 09:17:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-924,"3.37740984898732","-1.51815076390077",A69-1602-60023,2023-05-13 14:20:02,-88.296429280685700,30.387774111839899,375446.151294372975826,3362468.023886980023235,2,1,1,1,2023-05-13 09:20:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-924,"1.40716201584915","-0.690910341200311",A69-1602-60023,2023-05-13 14:23:02,-88.296403574194798,30.387794893549302,375448.647607217018958,3362470.298819830175489,2,1,1,1,2023-05-13 09:23:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-924,"1.15580900839661","2.07407173853648",A69-1602-60023,2023-05-13 14:26:02,-88.296388955790704,30.387795649388799,375450.053140225994866,3362470.366509560029954,2,1,1,1,2023-05-13 09:26:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-924,NA,NA,A69-1602-60023,2023-05-13 14:29:02,-88.296395374150919,30.387804468867198,375449.447636972996406,3362471.351019730325788,2,1,1,1,2023-05-13 09:29:02,2023-05-13,30.399999999999999,-88.250000000000000,2023-05-13 05:35:29,2023-05-13 06:01:39,2023-05-13 19:39:45,2023-05-13 20:05:54,day,em_veg
A69-1602-60023-1037,"1.34239058265908",NA,A69-1602-60023,2023-06-21 15:29:42,-88.296350311200399,30.387826965308701,375453.805941905011423,3362473.794704909902066,2,1,1,1,2023-06-21 10:29:42,2023-06-21,30.399999999999999,-88.250000000000000,2023-06-21 05:25:03,2023-06-21 05:52:41,2023-06-21 19:59:18,2023-06-21 20:26:56,day,em_veg
