"","ID","ID_old","time","x","y","lon","lat"
"18861","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:09:43",375487.784855622,3362410.2668191,-88.2959891491375,30.3872573406007
"18862","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:12:43",375517.16679078,3362418.70008583,-88.2956843961102,30.3873364566375
"18863","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:15:43",375534.470327668,3362430.41835466,-88.2955057252198,30.3874439619961
"18864","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:18:43",375526.023636194,3362427.84305326,-88.2955933175649,30.3874198564715
"18865","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:24:33",375522.074663665,3362436.41977396,-88.2956354329144,30.387496826013
"18866","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:27:33",375521.451978572,3362437.00959842,-88.2956419829977,30.3875020829977
"18867","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:30:33",375521.439231651,3362437.18294501,-88.2956421362843,30.3875036455736
"18868","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:33:33",375522.225141314,3362437.13324139,-88.295633951938,30.3875032782776
"18869","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:36:33",375521.547555695,3362437.32580588,-88.2956410260379,30.3875049456111
"18870","A69-1604-28068-12204","A69-1604-28068","2023-11-20 21:39:33",375521.551850642,3362437.24488183,-88.2956409717088,30.3875042159769
"18871","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:00:38",375462.825077629,3362377.39701607,-88.2962449727913,30.3869582199585
"18872","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:03:38",375485.866102599,3362396.15110818,-88.2960074352269,30.3871297939384
"18873","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:06:38",375503.30077062,3362404.38052914,-88.2958269850617,30.3872058377056
"18874","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:09:38",375523.206325941,3362405.80787675,-88.2956200120109,30.3872207695767
"18875","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:12:38",375528.851944299,3362405.97587295,-88.2955612820572,30.3872228678881
"18876","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:15:38",375501.151895914,3362401.36390573,-88.2958489876726,30.3871784006203
"18877","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:18:38",375512.760533359,3362402.9576264,-88.2957283746154,30.3871939771081
"18878","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:21:38",375475.977645371,3362389.76268431,-88.2961095764405,30.3870711381467
"18879","A69-1604-28068-12225","A69-1604-28068","2023-11-27 13:24:38",375458.333858464,3362373.58786345,-88.2962912558709,30.3869233909166
"18880","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:01:28",375451.930458947,3362363.77963335,-88.2963567229473,30.3868342421521
"18881","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:04:28",375432.606912039,3362350.03892346,-88.2965561715304,30.3867082810647
"18882","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:07:28",375455.798904595,3362354.7049422,-88.2963153860119,30.386752771958
"18883","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:10:28",375470.540027687,3362360.9887148,-88.2961627347518,30.3868109848347
"18884","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:13:28",375465.646006812,3362352.92399702,-88.2962127025863,30.3867377215402
"18885","A69-1604-28068-12228","A69-1604-28068","2023-11-27 14:16:28",375450.080348844,3362338.37923115,-88.2963729499582,30.3866048947594
"18886","A69-1604-28068-12233","A69-1604-28068","2023-11-27 14:53:06",375461.830671815,3362359.62481752,-88.2962532039986,30.3867977807623
"18887","A69-1604-28068-12233","A69-1604-28068","2023-11-27 14:56:06",375458.443592782,3362342.50463057,-88.2962864115525,30.3866429767788
"18888","A69-1604-28068-12233","A69-1604-28068","2023-11-27 14:59:06",375452.011430481,3362347.11506567,-88.2963538952826,30.3866839067861
"18889","A69-1604-28068-12233","A69-1604-28068","2023-11-27 15:02:06",375448.693532623,3362347.57303063,-88.2963884766503,30.3866876957918
"18890","A69-1604-28068-12233","A69-1604-28068","2023-11-27 15:05:06",375433.388099848,3362356.8122075,-88.2965488492492,30.3867694686881
"18891","A69-1604-28068-12233","A69-1604-28068","2023-11-27 15:08:06",375433.143981487,3362355.5021703,-88.2965512335305,30.386757624634
"18892","A69-1604-28068-12233","A69-1604-28068","2023-11-27 15:11:06",375439.082971201,3362344.51786331,-88.2964881224191,30.3866591402585
"18893","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:18:30",375466.952209493,3362384.7318273,-88.2962028983931,30.3870248190356
"18894","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:21:30",375485.453219881,3362395.85328829,-88.2960116963334,30.387127064451
"18895","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:24:30",375503.166305288,3362399.61421077,-88.2958278168122,30.3871628232388
"18896","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:27:30",375501.494383392,3362391.35666927,-88.2958442320561,30.3870881530783
"18897","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:30:30",375480.439756883,3362377.14677436,-88.2960616400231,30.3869577811407
"18898","A69-1604-28068-12234","A69-1604-28068","2023-11-27 15:33:30",375467.518118157,3362384.20069022,-88.2961969461344,30.3870200856794
"18899","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:01:23",375399.234302092,3362369.30542121,-88.2969057506469,30.3868786513481
"18900","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:04:23",375424.934624989,3362382.11643777,-88.2966398330078,30.3869968841931
"18901","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:07:23",375447.625879562,3362376.08467039,-88.2964029832829,30.3869448106922
"18902","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:10:23",375471.451458417,3362389.98902187,-88.2961567041387,30.3870727127644
"18903","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:13:23",375498.43175213,3362404.01037651,-88.2958776094002,30.3872019956399
"18904","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:16:23",375491.010003907,3362391.96572367,-88.2959534079371,30.3870925654657
"18905","A69-1604-28068-12237","A69-1604-28068","2023-11-27 17:19:23",375483.404948777,3362398.44233426,-88.2960333195475,30.3871502107298
"18906","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:42:38",375437.877847361,3362385.30446139,-88.2965055222149,30.3870269826594
"18907","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:45:38",375445.562782605,3362383.44785801,-88.2964253295502,30.3870110265311
"18908","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:48:38",375452.554803445,3362379.05423227,-88.2963520453529,30.3869721103893
"18909","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:51:38",375448.944804735,3362379.53696331,-88.2963896694509,30.3869760926596
"18910","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:54:38",375457.342768123,3362384.99919859,-88.2963029286675,30.3870262388946
"18911","A69-1604-28068-12240","A69-1604-28068","2023-11-27 17:57:38",375465.689125304,3362397.77099673,-88.2962175954448,30.3871423248662
"18912","A69-1604-28068-12240","A69-1604-28068","2023-11-27 18:00:38",375470.597140601,3362399.6058215,-88.2961667397903,30.3871593850097
"18913","A69-1604-28068-12240","A69-1604-28068","2023-11-27 18:03:38",375477.393400113,3362412.6979823,-88.2960975752224,30.3872782010842
"18914","A69-1604-28068-12240","A69-1604-28068","2023-11-27 18:06:38",375489.041939683,3362419.39348345,-88.2959771544098,30.3873398089647
"18915","A69-1604-28068-12240","A69-1604-28068","2023-11-27 18:09:38",375497.410255813,3362407.48402346,-88.2958886530195,30.3872332285988
"18916","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:41:15",375494.588610664,3362394.06806357,-88.2959164183097,30.3871119017218
"18917","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:44:15",375483.956905057,3362400.22549383,-88.2960277880911,30.3871663549555
"18918","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:47:15",375490.345823955,3362408.24815171,-88.2959622585553,30.3872393930657
"18919","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:50:15",375535.25378462,3362422.21179653,-88.2954965953894,30.3873700052378
"18920","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:53:15",375510.733071029,3362400.38877226,-88.2957491671136,30.3871705922387
"18921","A69-1604-28068-12267","A69-1604-28068","2023-11-29 11:56:15",375519.980761983,3362408.80876243,-88.2956539354444,30.3872475099269
"18922","A69-1604-28068-12271","A69-1604-28068","2023-11-29 12:51:56",375489.714684154,3362350.06978525,-88.2959618982949,30.3867144565907
"18923","A69-1604-28068-12271","A69-1604-28068","2023-11-29 12:54:56",375495.013973792,3362384.56515448,-88.2959108602652,30.3870262126598
"18924","A69-1604-28068-12271","A69-1604-28068","2023-11-29 12:57:56",375489.763287299,3362385.75797471,-88.2959656423716,30.3870364319283
"18925","A69-1604-28068-12271","A69-1604-28068","2023-11-29 13:00:56",375468.988915697,3362363.48070652,-88.2961791728072,30.3868333068254
"18926","A69-1604-28068-12271","A69-1604-28068","2023-11-29 13:03:56",375466.752640969,3362372.65004731,-88.2962035361509,30.3869157995075
"18927","A69-1604-28068-12271","A69-1604-28068","2023-11-29 13:06:56",375489.661077081,3362372.90470789,-88.2959651753856,30.3869204622752
"18928","A69-1604-28068-12271","A69-1604-28068","2023-11-29 13:09:56",375435.587296447,3362345.24393565,-88.2965245857095,30.3866653296677
"18929","A69-1604-28068-12319","A69-1604-28068","2023-12-06 09:58:12",375446.714962484,3362382.22275261,-88.2964131937191,30.3870000929179
"18930","A69-1604-28068-12319","A69-1604-28068","2023-12-06 10:01:12",375449.108374016,3362379.63907329,-88.2963879794696,30.3869770307637
"18931","A69-1604-28068-12319","A69-1604-28068","2023-12-06 10:04:12",375459.747520056,3362379.39277011,-88.2962772363784,30.3869759073727
"18932","A69-1604-28068-12319","A69-1604-28068","2023-12-06 10:07:12",375465.684532152,3362387.01584388,-88.2962163622262,30.3870452939852
"18933","A69-1604-28068-12319","A69-1604-28068","2023-12-06 10:10:12",375468.607279179,3362388.07082706,-88.2961860729817,30.3870551135903
"18934","A69-1604-28068-12319","A69-1604-28068","2023-12-06 10:13:12",375469.131631331,3362388.44860122,-88.2961806614249,30.3870585759215
